name,genus_id
mitchellii,22034
morrisonensis,22034
mutabilis,22034
nana,22034
naumannii,22034
nitida,22034
nivalis,22034
novae-zealandiae,22034
novoguinensis,22034
obovata,22034
obtusissima,22034
opaca,22034
pachyphylla,22034
parallela,22034
patagonica,22034
peruviana,22034
pilifera,22034
planinervia,22034
pseudo-alpina,22034
pseudomutabilis,22034
pumila,22034
purpurascens,22034
regularis,22034
remotifolia,22034
rigida,22034
robusta,22034
rothii,22034
rupestris,22034
schofieldiana,22034
semisquarrosa,22034
seriata,22034
sinuosa,22034
sparsifolia,22034
spurioalpina,22034
squamata,22034
squarrifolia,22034
squarrosa,22034
squarrosofiliformis,22034
striata,22034
subappendiculata,22034
subremotifolia,22034
subulata,22034
taiwanensis,22034
tsaratananae,22034
tunariensis,22034
turgescens,22034
urophylla,22034
vaginalis,22034
verruculosa,22034
vilocensis,22034
viridis,22034
vulcanica,22034
wangiana,22034
willii,22034
wilsonii,22034
fuegiana,22035
adamsianum,22036
articum,22036
darvasicum,22036
fuegianum,22036
haleniana,22036
kurainense,22036
niinjanense,22036
macrosporum,22037
alata,22038
brevifolia,22038
javanica,22038
virgata,22038
alata,22039
allionii,22039
amazonica,22039
amboinensis,22039
ambrosioides,22039
andina,22039
androgyna,22039
angusticosta,22039
attenuata,22039
augustae,22039
australis,22039
baldwinii,22039
biflora,22039
bipinnata,22039
blasioides,22039
brasiliensis,22039
breutelii,22039
brevissima,22039
caespitans,22039
calva,22039
cerebrata,22039
cervicornis,22039
chilensis,22039
ciliolata,22039
cochleata,22039
comosa,22039
congoana,22039
congoensis,22039
conimitra,22039
corbieri,22039
coriacea,22039
corralensis,22039
crassicrispa,22039
crassiretis,22039
crateriformis,22039
crenulata,22039
crispa,22039
densa,22039
dentata,22039
diablotina,22039
dicrana,22039
digitiloba,22039
diminuta,22039
dismieri,22039
distans,22039
eachamensis,22039
emarginata,22039
epibrya,22039
erecta,22039
eriocaula,22039
erosa,22039
erronea,22039
eskuchei,22039
fendleri,22039
filiformis,22039
flaccidissima,22039
flavescens,22039
fleischeri,22039
foreauana,22039
fucoidea,22039
fuscescens,22039
gemmifera,22039
giangena,22039
gibbsiana,22039
gigantea,22039
glaucescens,22039
goebeliana,22039
goebelii,22039
gracilis,22039
gracillima,22039
grandiflora,22039
grosselimbata,22039
grossidens,22039
grossitexta,22039
hamatiflora,22039
hawaica,22039
heteroclada,22039
hirsuta,22039
hirtiflora,22039
holstii,22039
husteinii,22039
hymenophylloides,22039
hymenophytoides,22039
imbricata,22039
inconspicua,22039
incurvata,22039
indica,22039
innovans,22039
intermedia,22039
jackii,22039
kaguensis,22039
karstenii,22039
keniae,22039
lamellifera,22039
latemultifida,22039
laticostata,22039
latifrondoides,22039
latissima,22039
laurentiana,22039
ledermannii,22039
lepervanchei,22039
lepidomitra,22039
leptophylla,22039
levieri,22039
lillieana,22039
lindaviana,22039
lobata,22039
loriana,22039
luetzelburgii,22039
macrostachya,22039
marianensis,22039
maxima,22039
merapiensis,22039
microscopica,22039
minima,22039
minuta,22039
multifidoides,22039
musiciola,22039
negeri,22039
newellana,22039
nigra,22039
nobilis,22039
novaecaledoniae,22039
novaguineensis,22039
nymanii,22039
obtusifrons,22039
oppositiflora,22039
orbiculata,22039
pallida,22039
papillosa,22039
papulolimbata,22039
parvula,22039
pauciramea,22039
pellucida,22039
perpusilla,22039
pinguis,22039
pinnatifida,22039
planifrons,22039
platyclada,22039
plumiformis,22039
polyantha,22039
polymorpha,22039
portoricensis,22039
profunda,22039
pseudopinguis,22039
puiggarii,22039
pulvinata,22039
punahuina,22039
punctata,22039
pusilla,22039
regnellii,22039
regularis,22039
reineckeana,22039
reticulata,22039
ridleyi,22039
rigida,22039
rockii,22039
rodwayi,22039
roraimensis,22039
rotangicola,22039
rufescens,22039
samoana,22039
scabra,22039
schwaneckei,22039
serrulata,22039
sessilis,22039
sharpii,22039
sikkimensis,22039
singalangana,22039
singapurensis,22039
sinuata,22039
spathuliloba,22039
spegazziniana,22039
spiniloba,22039
spinulifera,22039
stephanii,22039
striolata,22039
subantarctica,22039
subaquatica,22039
subcanaliculata,22039
subexalata,22039
subledermannii,22039
subnigra,22039
subtenerrima,22039
sumatrana,22039
tasmanica,22039
tenera,22039
tenerrima,22039
tenuicostata,22039
tenuicula,22039
tenuifrons,22039
tenuis,22039
tjibodensis,22039
travisiana,22039
trichomanoides,22039
tripinnata,22039
uleana,22039
upoluna,22039
vincentina,22039
viridissima,22039
vitiensis,22039
walesiana,22039
weberbaueri,22039
wettsteinii,22039
zollingerii,22039
hirsutus,22040
mirabilis,22040
alterniloba,22041
athertonensis,22041
coronopus,22041
lobata,22041
oberwinkleri,22041
verdoornioides,22041
yakusimensis,22041
yunnanensis,22041
crispa,22042
multifida,22042
prehensilis,22042
virgata,22042
aberrans,22043
adglutinata,22043
aequicellularis,22043
aequitexta,22043
aeruginosa,22043
agumana,22043
alba,22043
albomarginata,22043
alcicornis,22043
algoides,22043
amazonica,22043
andina,22043
angustata,22043
anguste-alata,22043
angustissima,22043
arcuata,22043
argentolimbata,22043
aspera,22043
asperulata,22043
atollica,22043
australis,22043
autoica,22043
babindae,22043
barbiflora,22043
baumannii,22043
bipinnatifida,22043
bistrata,22043
blasioides,22043
bliklika,22043
bogotensis,22043
boliviensis,22043
bongeriana,22043
breviala,22043
breviramosa,22043
brunnea,22043
calcarea,22043
canaliculata,22043
capensis,22043
capillacea,22043
cardotii,22043
cataractarum,22043
cervicornis,22043
chamedryfolia,22043
changbaishanensis,22043
chinensis,22043
ciliolata,22043
colensoi,22043
columbica,22043
comata,22043
compacta,22043
comptonii,22043
costata,22043
crassa,22043
crassicaulis,22043
crassiretis,22043
crenulata,22043
crenuliformis,22043
demkarmana,22043
densiramea,22043
dilatata,22043
diminuta,22043
diversiflora,22043
effusa,22043
elata,22043
elegans,22043
elongata,22043
exigua,22043
fastigiata,22043
filicina,22043
flaccia,22043
flagellaris,22043
flagellifrons,22043
flavovirens,22043
floribunda,22043
foliacea,22043
formosensis,22043
fruticosa,22043
fucoides,22043
fuegiensis,22043
furtiva,22043
fuscobrunnea,22043
geniana,22043
georgiensis,22043
glauca,22043
glaziovii,22043
gogolensis,22043
graeffei,22043
granulata,22043
grollei,22043
gunniana,22043
hans-meyeri,22043
hattorii,22043
hebridensis,22043
herzogiana,22043
humilis,22043
hyalina,22043
hydra,22043
hymenophytoides,22043
hypipamensis,22043
ibana,22043
incurvata,22043
insularis,22043
intercellula,22043
intricata,22043
jackii,22043
japonica,22043
judithae,22043
jugata,22043
kanemarui,22043
kodamae,22043
kowaldiana,22043
koyensis,22043
latifrons,22043
lepidomitra,22043
leptophylla,22043
leptostachya,22043
leptothallus,22043
leratii,22043
levieri,22043
lichenoides,22043
ligulata,22043
limbata,22043
lobulata,22043
longiflora,22043
longispica,22043
macdonaldiana,22043
macrantha,22043
magnicellularis,22043
majlandii,22043
makinoana,22043
marginata,22043
marionensis,22043
metzgeriiformis,22043
micropinna,22043
multicorpora,22043
multifida,22043
multispica,22043
muscoides,22043
mycophora,22043
nadeaudiana,22043
nadeaudii,22043
nagasakiensis,22043
nana,22043
nitida,22043
novo-amstelodamensis,22043
nudiflora,22043
nudimitra,22043
obtusa,22043
omkaliensis,22043
onigajona,22043
opuntiiformis,22043
pallida,22043
pallidevirens,22043
palmata,22043
palmatifida,22043
papillata,22043
papulosa,22043
paramorum,22043
parasitans,22043
parvula,22043
patens,22043
pauciramea,22043
pectinata,22043
pellioides,22043
pellucida,22043
pembaiensis,22043
pengagensis,22043
pennata,22043
perspicua,22043
perssonii,22043
philippinensis,22043
phleganiana,22043
pindaundensis,22043
pindensis,22043
pinguis,22043
pinnatifida,22043
plana,22043
planiflora,22043
platyclada,22043
plumiformis,22043
plumosa,22043
poeppigiana,22043
polyclada,22043
prehensilis,22043
pseudodendroceros,22043
pumila,22043
pusilla,22043
ramosissima,22043
reducta,22043
regina,22043
reyesiana,22043
rhodesiae,22043
rigida,22043
rivularis,22043
robbinsii,22043
robusta,22043
roivainenii,22043
rupicola,22043
russellii,22043
saccatiflora,22043
serrulata,22043
sinuata,22043
smaragdina,22043
spectabilis,22043
spegazziniana,22043
spinulifera,22043
spongiosa,22043
sprucei,22043
squarrosa,22043
stephanii,22043
stipatiflora,22043
stolonifera,22043
stricta,22043
subalpina,22043
submersa,22043
submultifida,22043
subpalmata,22043
subsimplex,22043
tahitensis,22043
tamariscina,22043
tenax,22043
tenella,22043
tenuicula,22043
tosana,22043
trichomanoides,22043
tumbareriensis,22043
tutuilana,22043
uematsuana,22043
umbana,22043
umbrosa,22043
umida,22043
valida,22043
variabilis,22043
venosa,22043
villosa,22043
virens,22043
vitrea,22043
wallisii,22043
wattsiana,22043
womersleyana,22043
crassum,22044
plumosum,22044
affine,22045
africana,22046
andina,22046
asperifolia,22046
filum,22046
julacea,22046
juratzkana,22046
subaequifolia,22046
viridissima,22046
albidus,22047
podanisia,22047
antheliopsis,22048
adscendens,22049
aethyopicus,22049
affinis,22049
agrestis,22049
alatifrons,22049
alpinus,22049
andinus,22049
aneuraeformis,22049
angustus,22049
arachnoideus,22049
argentinus,22049
argillaceus,22049
assamicus,22049
bharadwajii,22049
brotheri,22049
brunnthaleri,22049
buettneri,22049
caespiticius,22049
callistictus,22049
capricornii,22049
carolinianus,22049
caucasicus,22049
chambensis,22049
chevalieri,22049
chungii,22049
communis,22049
coriaceus,22049
crispulus,22049
cristatus,22049
cristulatus,22049
dilatatus,22049
dimorphus,22049
donnellii,22049
erectus,22049
falsinervius,22049
flavens,22049
floribundus,22049
formosae,22049
fuciformis,22049
fulvisporous,22049
fuscus,22049
fusiformis,22049
gasangorii,22049
gemmifer,22049
gemmulosus,22049
glaziovii,22049
grandis,22049
grosse-involucratus,22049
hookerianus,22049
husnotii,22049
incurvatus,22049
incurvus,22049
indicus,22049
japonicus,22049
javanicoides,22049
jollyanus,22049
joorii,22049
laciniatus,22049
laevis,22049
lamellatus,22049
lescurii,22049
macounii,22049
megalosporus,22049
megasporus,22049
meridionalis,22049
mildbraedii,22049
mohrii,22049
multifidus,22049
multilobulus,22049
myriandraecius,22049
natalensis,22049
neesii,22049
olneyi,22049
orizabensis,22049
padangensis,22049
parvifrons,22049
parvisporus,22049
parvus,22049
patagonicus,22049
pearsonii,22049
pichinchensis,22049
pinnatus,22049
pinnilobus,22049
pringlei,22049
pseudocostus,22049
punctatus,22049
raddii,22049
ravenelii,22049
reticulatus,22049
rossoi,22049
rosulans,22049
sambesianus,22049
schroederi,22049
squamuliger,22049
stableri,22049
stomatifer,22049
stuhlmannii,22049
subbrevis,22049
subcostatus,22049
subtilis,22049
sulcatus,22049
sumatranus,22049
telaganus,22049
tenuissimus,22049
theriotii,22049
tigrinus,22049
tjibodensis,22049
tuberulatus,22049
usambarensis,22049
validus,22049
venosus,22049
verruculosus,22049
volkensii,22049
aberrans,22050
adscendens,22050
agrestis,22050
allionii,22050
appalachianus,22050
areolatus,22050
assamicus,22050
cavernosus,22050
formosae,22050
fusiformis,22050
gemmulosus,22050
havaiensis,22050
hildebrandtii,22050
khandalensis,22050
macounii,22050
madeirensis,22050
punctatus,22050
scariosus,22050
schroederi,22050
striatus,22050
tener,22050
amboinensis,22051
apiahynus,22051
appendiculatus,22051
buitenzorgius,22051
dixitianus,22051
fuciformis,22051
fuscus,22051
glandulosus,22051
incurvus,22051
kashyapii,22051
mamillisporus,22051
mangaloreus,22051
miyabenus,22051
paliformis,22051
pandei,22051
pinnilobus,22051
spinisporus,22051
udarii,22051
verruculosus,22051
vesiculosus,22051
weistei,22051
striatisporus,22052
dussii,22053
mesophoros,22054
porcatus,22054
aenigmaticus,22055
canaliculatus,22055
endiviaefolius,22055
fuegiensis,22055
giganteus,22055
renzagliensis,22055
superbus,22055
vincentianus,22055
coriaceus,22056
diadematus,22056
fimbriatus,22056
hallii,22056
hirticalyx,22056
skottsbergii,22056
austroandinus,22057
bolusii,22057
brevicapsulus,22057
bulbiculosus,22057
butleri,22057
carolinianus,22057
cataractarum,22057
chiloensis,22057
coriaceus,22057
delicatus,22057
dendroceroides,22057
dichotomus,22057
dixitii,22057
dussii,22057
engelii,22057
erectus,22057
esquiirolli,22057
evanidus,22057
exiguus,22057
