id,name,group_id
360,Smilacaceae,1
361,Solanaceae,1
362,Sphaerosepalaceae,1
363,Sphenocleaceae,1
364,Stachyuraceae,1
365,Staphyleaceae,1
366,Stegnospermataceae,1
367,Stemonaceae,1
368,Stemonuraceae,1
369,Stilbaceae,1
370,Strasburgeriaceae,1
371,Strelitziaceae,1
372,Stylidiaceae,1
373,Styracaceae,1
374,Surianaceae,1
375,Symplocaceae,1
376,Talinaceae,1
377,Tamaricaceae,1
378,Tapisciaceae,1
379,Tecophilaeaceae,1
380,Tetrachondraceae,1
381,Tetramelaceae,1
382,Tetrameristaceae,1
383,Theaceae,1
384,Thomandersiaceae,1
385,Thurniaceae,1
386,Thymelaeaceae,1
387,Ticodendraceae,1
388,Tofieldiaceae,1
389,Torricelliaceae,1
390,Tovariaceae,1
391,Trigoniaceae,1
392,Trimeniaceae,1
393,Triuridaceae,1
394,Trochodendraceae,1
395,Tropaeolaceae,1
396,Typhaceae,1
397,Ulmaceae,1
398,Urticaceae,1
399,Vahliaceae,1
400,Velloziaceae,1
401,Verbenaceae,1
402,Violaceae,1
403,Vitaceae,1
404,Vivianiaceae,1
405,Vochysiaceae,1
406,Winteraceae,1
407,Xanthorrhoeaceae,1
408,Xeronemataceae,1
409,Xyridaceae,1
410,Zingiberaceae,1
411,Zosteraceae,1
412,Zygophyllaceae,1
413,Araucariaceae,2
414,Cupressaceae,2
415,Cycadaceae,2
416,Ephedraceae,2
417,Ginkgoaceae,2
418,Gnetaceae,2
419,Pinaceae,2
420,Podocarpaceae,2
421,Sciadopityaceae,2
422,Taxaceae,2
423,Welwitschiaceae,2
424,Zamiaceae,2
425,Anemiaceae,3
426,Apleniaceae,3
427,Aspleniaceae,3
428,Athyriaceae,3
429,Blechnaceae,3
430,Cibotiaceae,3
431,Culcitaceae,3
432,Cyatheaceae,3
433,Cystodiaceae,3
434,Cystopteridaceae,3
435,Davalliaceae,3
436,Dennstaedtiaceae,3
437,Dicksoniaceae,3
438,Diplaziopsidaceae,3
439,Dipteridaceae,3
440,Dryopteridacae,3
441,Dryopteridaceae,3
442,Equisetaceae,3
443,Gleicheniaceae,3
444,Hymenophyllaceae,3
445,Hypodematiaceae,3
446,Isoëtaceae,3
447,Lindsaeaceae,3
448,Lomariopsidaceae,3
449,Lonchitidaceae,3
450,Loxsomataceae,3
451,Lycopodiaceae,3
452,Lygodiaceae,3
453,Marattiaceae,3
454,Marsileaceae,3
455,Matoniaceae,3
456,Metaxyaceae,3
457,Nephrolepidaceae,3
458,Oleandraceae,3
459,Onocleaceae,3
460,Ophioglossaceae,3
461,Osmundaceae,3
462,Plagiogyriaceae,3
463,Polypodiaceae,3
464,Psilotaceae,3
465,Pteridaceae,3
466,Rhachidosoraceae,3
467,Saccolomataceae,3
468,Salviniaceae,3
469,Schizaeaceae,3
470,Selaginellaceae,3
471,Tectariaceae,3
472,Thelypteridaceae,3
473,Thyrsopteridaceae,3
474,Woodsiaceae,3
475,Acrobolbaceae,4
476,Adelanthaceae,4
477,Allisoniaceae,4
478,Amblystegiaceae,4
479,Anastrophyllaceae,4
480,Andreaeaceae,4
481,Andreaeobryaceae,4
482,Aneuraceae,4
483,Antheliaceae,4
484,Anthocerotaceae,4
485,Archidiaceae,4
486,Arnelliaceae,4
487,Aulacomniaceae,4
488,Aytoniaceae,4
489,Balantiopsaceae,4
490,Bartramiaceae,4
491,Blasiaceae,4
492,Brachytheciaceae,4
493,Brevianthaceae,4
494,Bruchiaceae,4
495,Bryaceae,4
496,Bryobartramiaceae,4
497,Bryoxiphiaceae,4
498,Buxbaumiaceae,4
499,Calomniaceae,4
500,Calymperaceae,4
501,Calypogeiaceae,4
502,Catagoniaceae,4
503,Catoscopiaceae,4
504,Cephaloziaceae,4
505,Cephaloziellaceae,4
506,Chaetophyllopsaceae,4
507,Chonecoleaceae,4
508,Cinclidotaceae,4
509,Cleveaceae,4
510,Climaciaceae,4
511,Conocephalaceae,4
512,Corsiniaceae,4
513,Cryphaeaceae,4
514,Cyrtopodaceae,4
515,Daltoniaceae,4
516,Dendrocerotaceae,4
517,Dicnemonaceae,4
518,Dicranaceae,4
519,Diphysciaceae,4
520,Disceliaceae,4
521,Ditrichaceae,4
522,Echinodiaceae,4
523,Encalyptaceae,4
524,Entodontaceae,4
525,Ephemeraceae,4
526,Erpodiaceae,4
527,Eustichiaceae,4
528,Exormothecaceae,4
529,Fabroniaceae,4
530,Fissidentaceae,4
531,Fontinalaceae,4
532,Fossombroniaceae,4
533,Funariaceae,4
534,Geocalycaceae,4
535,Gigaspermaceae,4
536,Goebeliellaceae,4
537,Grimmiaceae,4
538,Gymnomitriaceae,4
539,Gyrothyraceae,4
540,Haplomitriaceae,4
541,Hedwigiaceae,4
542,Helicophyllaceae,4
543,Herbertaceae,4
544,Hookeriaceae,4
545,Hylocomiaceae,4
546,Hymenophytaceae,4
547,Hypnaceae,4
548,Hypnodendraceae,4
549,Hypopterygiaceae,4
550,Jackiellaceae,4
551,Jubulaceae,4
552,Jubulopsaceae,4
553,Jungermanniaceae,4
554,Lejeuneaceae,4
555,Lembophyllaceae,4
556,Lepicoleaceae,4
557,Lepidolaenaceae,4
558,Lepidoziaceae,4
559,Leptodontaceae,4
560,Lepyrodontaceae,4
561,Leskeaceae,4
562,Leucodontaceae,4
563,Leucomiaceae,4
564,Lophocoleaceae,4
565,Lophoziaceae,4
566,Lunulariaceae,4
567,Makinoaceae,4
568,Marchantiaceae,4
569,Mastigophoraceae,4
570,Meesiaceae,4
571,Mesoptychiaceae,4
572,Meteoriaceae,4
573,Metzgeriaceae,4
574,Microtheciellaceae,4
575,Mitteniaceae,4
576,Mizutaniaceae,4
577,Mniaceae,4
578,Monocarpaceae,4
579,Monocleaceae,4
580,Monosoleniaceae,4
581,Myriniaceae,4
582,Myuriaceae,4
583,Neckeraceae,4
584,Neotrichocoleaceae,4
585,Notothyladaceae,4
586,Octoblepharaceae,4
587,Oedipodiaceae,4
588,Orthorrhynchiaceae,4
589,Orthotrichaceae,4
590,Oxymitraceae,4
591,Pallaviciniaceae,4
592,Pelliaceae,4
593,Phyllodrepaniaceae,4
594,Phyllogoniaceae,4
595,Pilotrichaceae,4
596,Plagiochilaceae,4
597,Plagiotheciaceae,4
598,Pleurophascaceae,4
599,Pleuroziaceae,4
600,Pleuroziopsaceae,4
601,Polytrichaceae,4
602,Porellaceae,4
603,Pottiaceae,4
604,Prionodontaceae,4
605,Pseudoditrichaceae,4
606,Pseudolepicoleaceae,4
607,Pterigynandraceae,4
608,Pterobryaceae,4
609,Ptilidiaceae,4
610,Ptychomitriaceae,4
611,Ptychomniaceae,4
612,Racopilaceae,4
613,Radulaceae,4
614,Regmatodontaceae,4
615,Rhabdoweisiaceae,4
616,Rhachitheciaceae,4
617,Rhacocarpaceae,4
618,Rhizogoniaceae,4
619,Ricciaceae,4
620,Riellaceae,4
621,Rigodiaceae,4
622,Rutenbergiaceae,4
623,Scapaniaceae,4
624,Schistochilaceae,4
625,Schistostegaceae,4
626,Scorpidiaceae,4
627,Seligeriaceae,4
628,Sematophyllaceae,4
629,Serpotortellaceae,4
630,Sorapillaceae,4
631,Sphaerocarpaceae,4
632,Sphagnaceae,4
633,Spiridentaceae,4
634,Splachnaceae,4
635,Splachnobryaceae,4
636,Stereophyllaceae,4
637,Takakiaceae,4
638,Targioniaceae,4
639,Tetraphidaceae,4
640,Thamnobryaceae,4
641,Theliaceae,4
642,Thuidiaceae,4
643,Timmiaceae,4
644,Trachypodaceae,4
645,Treubiaceae,4
646,Trichocoleaceae,4
647,Trichotemnomataceae,4
648,Vandiemeniaceae,4
649,Vetaformaceae,4
650,Viridivelleraceae,4
651,Wardiaceae,4
652,Wiesnerellaceae,4
